conversation,task,rubric_label
"user: PacD Custom Form for Packaging Confirmation to be 25 before ex factory, or 4 days before PTS booking 怎么翻译
assistant: 自定义的 PacD 包装确认表格应在离开工厂前 25 天或 PTS 预订前 4 天完成。
user: Confirm the PO and Submit Packaging Confirmation 

assistant: 确认采购订单并提交包装确认。
",translate messages simultaneously or consecutively into specified languages orally or by using hand signs maintaining message content context and style as much as possible,E1
"user: PacD Custom Form for Packaging Confirmation to be 25 before ex factory, or 4 days before PTS booking 怎么翻译
assistant: 自定义的 PacD 包装确认表格应在离开工厂前 25 天或 PTS 预订前 4 天完成。
user: Confirm the PO and Submit Packaging Confirmation 

assistant: 确认采购订单并提交包装确认。
",translate messages simultaneously or consecutively into specified languages orally or by using hand signs maintaining message content context and style as much as possible,E1
"user: PacD Custom Form for Packaging Confirmation to be 25 before ex factory, or 4 days before PTS booking 怎么翻译
assistant: 自定义的 PacD 包装确认表格应在离开工厂前 25 天或 PTS 预订前 4 天完成。
user: Confirm the PO and Submit Packaging Confirmation 

assistant: 确认采购订单并提交包装确认。
",translate messages simultaneously or consecutively into specified languages orally or by using hand signs maintaining message content context and style as much as possible,E1
"user: PacD Custom Form for Packaging Confirmation to be 25 before ex factory, or 4 days before PTS booking 怎么翻译
assistant: 自定义的 PacD 包装确认表格应在离开工厂前 25 天或 PTS 预订前 4 天完成。
user: Confirm the PO and Submit Packaging Confirmation 

assistant: 确认采购订单并提交包装确认。
",translate messages simultaneously or consecutively into specified languages orally or by using hand signs maintaining message content context and style as much as possible,E1
"user: PacD Custom Form for Packaging Confirmation to be 25 before ex factory, or 4 days before PTS booking 怎么翻译
assistant: 自定义的 PacD 包装确认表格应在离开工厂前 25 天或 PTS 预订前 4 天完成。
user: Confirm the PO and Submit Packaging Confirmation 

assistant: 确认采购订单并提交包装确认。
",translate messages simultaneously or consecutively into specified languages orally or by using hand signs maintaining message content context and style as much as possible,E1
"user: PacD Custom Form for Packaging Confirmation to be 25 before ex factory, or 4 days before PTS booking 怎么翻译
assistant: 自定义的 PacD 包装确认表格应在离开工厂前 25 天或 PTS 预订前 4 天完成。
user: Confirm the PO and Submit Packaging Confirmation 

assistant: 确认采购订单并提交包装确认。
",translate messages simultaneously or consecutively into specified languages orally or by using hand signs maintaining message content context and style as much as possible,E2
"user: PacD Custom Form for Packaging Confirmation to be 25 before ex factory, or 4 days before PTS booking 怎么翻译
assistant: 自定义的 PacD 包装确认表格应在离开工厂前 25 天或 PTS 预订前 4 天完成。
user: Confirm the PO and Submit Packaging Confirmation 

assistant: 确认采购订单并提交包装确认。
",translate messages simultaneously or consecutively into specified languages orally or by using hand signs maintaining message content context and style as much as possible,E1
"user: PacD Custom Form for Packaging Confirmation to be 25 before ex factory, or 4 days before PTS booking 怎么翻译
assistant: 自定义的 PacD 包装确认表格应在离开工厂前 25 天或 PTS 预订前 4 天完成。
user: Confirm the PO and Submit Packaging Confirmation 

assistant: 确认采购订单并提交包装确认。
",translate messages simultaneously or consecutively into specified languages orally or by using hand signs maintaining message content context and style as much as possible,E1
"user: PacD Custom Form for Packaging Confirmation to be 25 before ex factory, or 4 days before PTS booking 怎么翻译
assistant: 自定义的 PacD 包装确认表格应在离开工厂前 25 天或 PTS 预订前 4 天完成。
user: Confirm the PO and Submit Packaging Confirmation 

assistant: 确认采购订单并提交包装确认。
",translate messages simultaneously or consecutively into specified languages orally or by using hand signs maintaining message content context and style as much as possible,E1
"user: PacD Custom Form for Packaging Confirmation to be 25 before ex factory, or 4 days before PTS booking 怎么翻译
assistant: 自定义的 PacD 包装确认表格应在离开工厂前 25 天或 PTS 预订前 4 天完成。
user: Confirm the PO and Submit Packaging Confirmation 

assistant: 确认采购订单并提交包装确认。
",translate messages simultaneously or consecutively into specified languages orally or by using hand signs maintaining message content context and style as much as possible,E1
